Date,Time,Temperature C, Temperature F,Humidity
01/29/25,21:00,22.7*C,22.7*F,72.9%
01/29/25,21:10,22.8*C,22.8*F,73.0%
01/29/25,21:13,22.7*C,22.7*F,72.9%
01/29/25,21:18,22.5*C,22.5*F,72.5%
01/29/25,21:28,22.2*C,22.2*F,72.0%
01/29/25,21:33,22.1*C,22.1*F,71.8%
01/29/25,21:48,22.5*C,22.5*F,72.5%
01/29/25,21:53,22.5*C,22.5*F,72.5%
01/29/25,21:58,22.0*C,22.0*F,71.6%
01/29/25,22:08,22.1*C,22.1*F,71.8%
01/29/25,22:13,22.0*C,22.0*F,71.6%
01/29/25,22:23,21.6*C,21.6*F,70.9%
01/29/25,22:28,21.7*C,21.7*F,71.1%
01/29/25,22:38,21.5*C,21.5*F,70.7%
01/29/25,22:44,21.3*C,21.3*F,70.3%
01/29/25,23:04,21.8*C,21.8*F,71.2%
01/29/25,23:09,21.9*C,21.9*F,71.4%
01/29/25,23:14,21.9*C,21.9*F,71.4%
01/29/25,23:34,21.9*C,21.9*F,71.4%
01/29/25,23:44,21.9*C,21.9*F,71.4%
01/29/25,23:49,21.8*C,21.8*F,71.2%
01/29/25,23:54,21.7*C,21.7*F,71.1%
01/30/25,00:09,22.1*C,22.1*F,71.8%
01/30/25,00:19,21.4*C,21.4*F,70.5%
01/30/25,00:24,21.5*C,21.5*F,70.7%
01/30/25,00:29,21.7*C,21.7*F,71.1%
01/30/25,00:54,22.2*C,22.2*F,72.0%
01/30/25,01:09,21.7*C,21.7*F,71.1%
01/30/25,01:14,21.5*C,21.5*F,70.7%
01/30/25,01:19,21.5*C,21.5*F,70.7%
01/30/25,01:29,21.5*C,21.5*F,70.7%
01/30/25,01:54,21.3*C,21.3*F,70.3%
01/30/25,01:59,21.3*C,21.3*F,70.3%
01/30/25,02:04,21.3*C,21.3*F,70.3%
01/30/25,02:39,21.1*C,21.1*F,70.0%
01/30/25,02:49,21.1*C,21.1*F,70.0%
01/30/25,02:54,21.1*C,21.1*F,70.0%
01/30/25,02:59,21.1*C,21.1*F,70.0%
01/30/25,03:04,21.0*C,21.0*F,69.8%
01/30/25,03:09,21.0*C,21.0*F,69.8%
01/30/25,03:14,21.0*C,21.0*F,69.8%
01/30/25,03:19,21.0*C,21.0*F,69.8%
01/30/25,03:24,21.0*C,21.0*F,69.8%
01/30/25,03:29,21.0*C,21.0*F,69.8%
01/30/25,03:34,21.0*C,21.0*F,69.8%
